id,imdb_id,title_orig,title_pt,year,country,director,duration,genres,poster_path,overview,era,streaming,streaming_checked_at
37719,tt0026778,A Night at the Opera,Uma Noite na Ópera,1935,EUA,Sam Wood,91,Comédia;Música,/hPUGLM7HYzqPa3uJ6V6HztJj0XC.jpg,"Dois amantes que gostam e trabalham com ópera estão distantes porque o homem não é bem aceito como tenor. Os irmãos Marx, então, fazem com que o tenor normal esteja ausente para o outro ter sua grande chance, através de muitas palhaçadas típicas do grupo.",XX,Belas Artes à La Carte,2026-07-31
30197,tt0063462,The Producers,Primavera Para Hitler,1968,EUA,Mel Brooks,88,Comédia,/CrFcUleJll5ocjOElGfNvntXGU.jpg,"Max Bialystock (Zero Mostel) é um produtor teatral em uma maré de má sorte, que namora mulheres idosas com dinheiro para conseguir financiamento para suas novas peças. Entretanto, Max realmente acredita ter descoberto uma grande jogada quando conhece Leo Bloom (Gene Wilder), um contador que ao conversar com ele expõe a tese de que um fracasso pode ser mais lucrativo que um sucesso, bastando que se venda o espetáculo para diversas pessoas e fazer de tudo para que ele seja um retumbante fracasso, com sua temporada durando apenas um dia, pois assim não existirá lucro e todo o dinheiro que foi investido irá parar no bolso daquele que vendeu os direitos da peça. Após uma certa relutância, Leo se une a Max para montarem o pior musical que a Broadway já viu: ""Primavera para Hitler"". História refilmada em  Os Produtores (2005).",XX,,2026-07-31
27223,tt0089504,Lost in America,Relax,1985,EUA,Albert Brooks,91,Comédia,/j7QiwUekGiYOmjKratNORIr35zg.jpg,"Um jovem casal decide largar a vida estável e sem graça que levam para se lançar em uma aventura americana. Eles compram um trailer e partem em uma viagem pelos Estados Unidos, que não sai bem como esperavam.",XX,,2026-07-31
218,tt0088247,The Terminator,O Exterminador do Futuro,1984,Reino Unido / EUA,James Cameron,107,Ação;Thriller;Ficção científica,/fo4SSoNT1ASI4JP7dOLrosWNWKa.jpg,"Em um futuro próximo, a guerra entre humanos e máquinas foi iniciada. Com a tecnologia a seu dispor, um plano inusitado é arquitetado pelas máquinas ao enviar para o passado um andróide com a missão de matar a mãe daquele que viria a se transformar num líder e seu pior inimigo. Contudo, os humanos também conseguem enviar seu representante para proteger a mulher e tentar garantir o futuro da humanidade.",XX,MGM Plus;MGM+,2026-07-31
15794,tt0042041,White Heat,Fúria Sanguinária,1949,EUA,Raoul Walsh,114,Crime;Drama;Thriller,/h5e41NdaSSYpyqrVsILlVWhwtox.jpg,"Um criminoso psicopata com um complexo-mãe (Complexo de Édipo) faz uma fuga ousada da prisão e depois lidera a sua antiga quadrilha num assalto à folha de pagamento de uma fábrica de produtos químicos. Após o assalto, os eventos tomam um rumo louco.",XX,HBO Max,2026-07-31
3085,tt0032599,His Girl Friday,Jejum de Amor,1940,EUA,Howard Hawks,92,Comédia;Romance,/zK9GxBsPGoeVTpO6cwVnvZXld7Z.jpg,Uma repórter (Rosalind Russell) anuncia que está deixando o trabalho para levar uma vida doméstica ao lado do noivo rico. Seu editor e ex-marido (Cary Grant) tenta convencê-la a mudar de idéia.,XX,Belas Artes à La Carte;Looke;Oldflix;Telecine,2026-07-31
678,tt0039689,Out of the Past,Fuga ao Passado,1947,EUA,Jacques Tourneur,97,Crime;Thriller,/knFUIyL0HCqe3Vtmmu5j3uhx3XG.jpg,"Um detetive particular foge do passado para administrar um posto de gasolina em uma cidadezinha, mas seu passado o alcança. Agora ele precisa retornar ao mundo da cidade grande, repleto de perigos, corrupção e traições.",XX,Looke;Oldflix,2026-07-31
713,tt0107822,The Piano,O Piano,1993,Austrália / França,Jane Campion,121,Drama;Romance,/5n14AvQcRIrZpmb5Wh7c6vG3XlG.jpg,"Mulher muda, acompanhada de sua filha e de seu piano, deixa sua terra natal, a Escócia, para um casamento arranjado em uma ilha ao sul da Nova Zelândia porém o relacionamento com seu novo marido não é o que ela esperava.",XX,,2026-07-31
1052,tt0060176,Blow-Up,Blow-Up: Depois Daquele Beijo,1966,Reino Unido / EUA / Itália,Michelangelo Antonioni,112,Drama;Mistério;Thriller,/7oRd8zfEGuEwWIOxPxy3JqyRPIn.jpg,"Em Londres, o fotógrafo Thomas está indo trabalhar quando decide fotografar um casal no parque. Mais tarde, a mulher fotografada bate em sua porta e exige os negativos das imagens, mas Thomas não dá. Para sua surpresa, ao revelar o material, ele descobre que pode estar diante das provas de um crime.",XX,,2026-07-31
11644,tt0082085,Blow Out,Um Tiro na Noite,1981,EUA,Brian De Palma,108,Crime;Mistério;Thriller,/tAtIuIEdzmhG32rMF92z4nHLCYh.jpg,"Jack Terry é um sonoplasta e está acostumado a diversos tipos de sons, mas um em especial muda sua vida. Ele grava um disparo comprometedor e acaba se tornando alvo do assassino de um candidato a presidente.",XX,MGM Plus;MGM+,2026-07-31
981,tt0032904,The Philadelphia Story,Núpcias de Escândalo,1940,EUA,George Cukor,112,Comédia;Romance,/tLdXrHf62eRBdcSZtOcpRuuC7bA.jpg,"Uma herdeira entediada, destinada a se casar com um executivo chato, vê seus planos de casamento frustrados com a chegada de seu ex-marido playboy. E família então gradualmente começa a perceber a importância da integridade e dos verdadeiros valores.",XX,Belas Artes à La Carte,2026-07-31
14554,tt0047849,Bad Day at Black Rock,Conspiração do Silêncio,1955,EUA,John Sturges,81,Faroeste;Drama;Crime,/ljuPEcitu5aRLRlD0W7Ma3sjypS.jpg,"1945, dois meses após o fim da 2ª Guerra Mundial. No vilarejo de Black Rock chega um idoso desconhecido, John MacReedy, que tem só um braço. Apesar da sua idade e deficiência física, sua presença incomoda cada vez mais os moradores do local, em parte por ser o primeiro visitante em 4 anos (literalmente o trem nunca parava ali) e também por ficar cada vez mais claro que todos estão escondendo algo. Quando ele diz que está procurando Komoko, um japonês, a tensão aumenta e parece que todos obedecem Reno Smith, o ""dono"" de Black Rock.",XX,Oldflix,2026-07-31
1859,tt0031725,Ninotchka,Ninotchka,1939,EUA,Ernst Lubitsch,110,Comédia;Romance,/cYsSoCtlpbX60udRMKIUdjcjzbv.jpg,"Nina Yakushova (Greta Garbo), comissária do governo soviético, é mandada a Paris para averiguar o comportamento de três representantes do governo que têm como missão negociar uma jóia. Aos poucos sucumbe ao capitalismo e a Leon d'Algout (Melvyn Douglas), um galanteador francês que está apaixonado por ela.",XX,Belas Artes à La Carte;Looke,2026-07-31
13776,tt0083833,Diner,Quando os Jovens se Tornam Adultos,1982,EUA,Barry Levinson,110,Comédia;Drama,/uWM2layvwI2JzeUfFkNJjqmMy4s.jpg,"Baltimore, 1959. Edward ""Eddie"" Simmons (Steve Guttemberg), Laurence ""Shrevie"" Schreiber (Daniel Stern), Robert ""Boogie"" Sheftell (Mickey Rourke), Timothy Fenwick Jr. (Kevin Bacon) e William ""Billy"" Howard (Timothy Dale), cinco amigos inseparáveis, tem de enfrentar que estão se tornando adultos. A responsabilidade deste novo momento em suas vidas é alternada com horas despreocupadas em uma lanchonete local. A trama se centra no retorno da faculdade de Billy, que será padrinho no casamento de Eddie. Billy é consumido por uma relação embaraçosa com uma amiga íntima, enquanto Eddie ainda vive em casa e prepara testes de futebol para sua noiva e jura cancelar o casamento se ela falhar. Há também Boogie, um sedutor com mania de jogar, e Shrevie, um viciado em música que tem problemas em seu casamento.",XX,,2026-07-31
94725,tt0100791,To Sleep with Anger,Não Durma Nervoso,1990,EUA,Charles Burnett,95,Drama,/k97OYGAbHIP6MNuOOGDUgYDnncW.jpg,"Com o tempo, ele começa a manipular os membros da família, provocando confusão e ódio.",XX,,2026-07-31
33,tt0105695,Unforgiven,Os Imperdoáveis,1992,EUA,Clint Eastwood,131,Faroeste,/kmMDDCOB8xPCrmFW7w9zqgymCWJ.jpg,"Bill Munny, um pistoleiro aposentado, volta à ativa quando lhe oferecem 1000 dólares para matar os homens que cortaram o rosto de uma prostituta. Neste serviço dois outros pistoleiros o acompanham e eles precisam se confrontar com um inglês, que também deseja a recompensa e um xerife, que não deseja tumulto em sua cidade.",XX,HBO Max;Telecine,2026-07-31
3116,tt0064665,Midnight Cowboy,Perdidos na Noite,1969,EUA,John Schlesinger,113,Drama,/95F9mJEXJNcsrlVNKQ9BwN7cXpj.jpg,"Joe Buck é um simplório jovem texano que decide abandonar seu passado conturbado e se muda para Nova Iorque, onde tentará ganhar a vida como garoto de programa para mulheres ricas. Mas sua excessiva ingenuidade o impedirá de ganhar dinheiro se prostituindo. Em uma de suas caminhadas, encontra Rizzo, um aleijado que sobrevive de pequenos golpes e furtos e com quem terá um laço de amizade. Filme baseado no romance homônimo de James Leo Herlihy, lançado em 1965.",XX,MUBI;Prime Video,2026-07-31
26748,tt0116905,Lone Star,Lone Star - A Estrela Solitária,1996,EUA,John Sayles,135,Drama;Mistério;Faroeste,/lBxY8znsRoqa9Dy2NCe8I6GPsRm.jpg,"Quando o esqueleto de seu antecessor assassinado é encontrado, o xerife Sam Deeds descobre muitos outros segredos há muito enterrados em sua cidade fronteiriça no Texas.",XX,,2026-07-31
